Company,Confidence,Primary Category,Subcategory,Reasoning,Source
OpenSats,86%,Open Source Funders and Investors,Angel Syndicates and Accelerators,OpenSats is a funding organization that allocates capital to support open-source projects and maintainers rather than selling  hosting  or distributing a specific open-source software product. Its primary function in the ecosystem is financial support (grants/donations)  aligning most closely with a funder/investor role rather than a foundation/governance body or a core COSS company.,OSS Capital
OpenSearch Project,62%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,OpenSearch is primarily an open source project and community  not a company with a direct revenue model from selling software  hosting  or services. It functions as a governance and collaboration vehicle for the OpenSearch codebase and ecosystem rather than as a commercial vendor. While AWS is a major contributor and offers managed OpenSearch services  the “OpenSearch Project” itself is best classified as a community/governance entity.,Serena
OpenShot Video Editor,55%,Core COSS Companies,Open-Core Product Companies,OpenShot is primarily an open source software product (a video editor) where development and distribution of the OSS application is central to the entity’s identity. It does not appear to be primarily a cloud/managed service  infrastructure provider  or consulting specialist; monetization (if any) is more consistent with an open-source core maintained by the project with potential donation/support-based funding rather than packaging third-party OSS. Confidence is moderate because OpenShot is more accurately a community-led OSS project than a clearly defined commercial company with a documented business model.,Serena
Opensource,22%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,The name “Opensource” is ambiguous and does not clearly map to a specific commercial entity with a revenue model  product  or platform role in the COSS ecosystem. Given the lack of evidence of software sales  hosting  or tooling  the closest fit in the taxonomy is a community/governance-style organization associated with open source stewardship. Confidence is low because a definitive classification requires the exact organization (e.g.  Open Source Initiative  Open Source.com  Open Source Technology Improvement Fund  etc.).,Serena
OpenSource Technologies (OST),56%,Core COSS Companies,Open Source Service & Consulting Specialists,Based on the name and typical positioning of firms branded “OpenSource Technologies ” OST most plausibly generates revenue from open source implementation  integration  support  and consulting rather than from owning and monetizing a specific open-core product. There isn’t enough evidence here that OST controls an open source project IP (open-core) or operates a hosted managed OSS service (managed provider)  so the consulting/services specialist classification best fits given the limited input.,Serena
OpenStack,88%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,OpenStack is primarily an open source cloud infrastructure project governed through a foundation-led model (OpenInfra Foundation)  focused on stewardship  standards  and community coordination rather than selling software as a product. While commercial vendors build distributions and services around OpenStack  the OpenStack entity itself functions mainly as a governance and collaboration hub for the ecosystem.,Serena
OpenTeams,44%,Core COSS Companies,Open Source Service & Consulting Specialists,OpenTeams appears to be a services-oriented organization centered on helping customers adopt and operate open source technologies  which aligns best with revenue coming from consulting/integration rather than selling a proprietary software product. There’s insufficient evidence that it controls and monetizes an open-core product IP or runs a managed cloud offering  so the consulting specialist classification is the closest fit given the available information.,Serena
OpenTelemetry,86%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,OpenTelemetry is an open-source observability framework governed under the Cloud Native Computing Foundation (part of the Linux Foundation)  focusing on stewardship  standards  and community-driven collaboration rather than selling a proprietary software product or hosted service. Its primary function in the ecosystem is maintaining a shared specification and project health to enable broad industry adoption.,Serena
openTrends,67%,Core COSS Companies,Open Source Service & Consulting Specialists,openTrends appears to be primarily a software engineering/IT services firm that helps organizations build  implement  and modernize solutions using open source technologies  which aligns best with revenue driven by consulting and integration rather than selling a proprietary OSS product. There’s no clear evidence that openTrends monetizes an open-core product it controls or operates a managed OSS cloud service as its main business.,Serena
Opentrons,62%,Core COSS Companies,Open-Core Product Companies,Opentrons develops and sells lab automation products where the core control software and protocols are open source  while monetization is primarily driven by commercial offerings (hardware  consumables  and potentially proprietary add-ons/services) that build on that core. This fits an open-core style model more than a distribution or managed cloud provider  because Opentrons is the primary steward of the underlying open-source stack it ships with its platform.,OSS Capital
Openwater,46%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Openwater is primarily a hardware/medical technology company developing brain-imaging and neurotech systems  not a business centered on developing or monetizing an open source software product. It may use software as part of its platform  but it is not best described as a Core COSS company or an OSS infrastructure/collaboration provider. Given the taxonomy options  it fits most closely as an adjacent technology company rather than an OSS-first vendor  though the match is tentative without evidence of a specific OSS product or OSS-focused revenue stream.,OSS Capital
Openwire Solutions,46%,Core COSS Companies,Open Source Service & Consulting Specialists,Openwire Solutions appears to operate primarily as a solutions/services firm rather than as the steward of a single open-source product monetized via licensing or proprietary add-ons. Based on the name and typical market positioning of “solutions” companies in the OSS ecosystem  the best fit is consulting/integration around open-source technologies rather than distribution  managed hosting  or developer tooling.,Serena
Opstrace,66%,Core COSS Companies,Managed Open Source (Cloud) Providers,Opstrace is best characterized as offering a hosted/managed observability stack built around open source technologies (e.g.  running and operating OSS components for customers)  which aligns with managed open source providers. The value proposition centers on operating the software in the cloud rather than primarily selling a general-purpose platform/tooling layer unrelated to a specific OSS stack. Confidence is moderate because public information about its current go-to-market and monetization model is limited and may have evolved over time.,Serena
OpsVerse,56%,Core COSS Companies,Open-Core Product Companies,OpsVerse appears to be a product company centered on delivering a software platform (rather than acting as a foundation  investor  or general infrastructure provider). Based on available signals  it most closely fits an open-core style COSS model where an OSS core is paired with commercial features/services  though public evidence is limited  lowering confidence.,Serena
Optaros,76%,Core COSS Companies,Open Source Service & Consulting Specialists,Optaros is best known as a digital consulting and systems integration firm that builds and implements solutions using open source technologies rather than monetizing a proprietary OSS product or distribution. Its primary revenue model aligns with services—consulting  integration  and delivery for enterprises adopting OSS—matching the “Open Source Service & Consulting Specialists” definition.,Serena
Optimism,62%,Core COSS Companies,Open-Core Product Companies,Optimism develops and maintains the OP Stack and related open source software for the Ethereum L2 ecosystem  with the organization’s core activity centered on producing and stewarding that software rather than selling unrelated services. It also operates around a broader product/ecosystem strategy (including governance and commercialization via the network/economics rather than classic consulting)  which aligns more with a company controlling and monetizing an OSS core than with a foundation  cloud provider  or tooling vendor.,OSS Capital
Orbit,42%,Adjacent Software and Technology Companies,Integration & Middleware Providers,“Orbit” most commonly refers to a customer/community data platform used to aggregate signals from tools like GitHub  Slack  and Discourse  which supports open source communities but is not itself an open source product business. That places it adjacent to OSS as an integration layer rather than a Core COSS company. Confidence is moderate because multiple entities/products use the name “Orbit ” and the classification depends on which one you mean.,OSS Capital
Orchest,58%,Core COSS Companies,Open-Core Product Companies,Orchest is best known for an open source workflow/orchestration product and a company formed around building and commercializing that software. That aligns most closely with a Core COSS model where monetization typically comes from packaging  added features  and/or enterprise support around a core project they develop and control. Confidence is moderate because public information about their current monetization and whether they still actively operate as a commercial entity may be limited or has changed over time.,OSS Capital
Ordissimo,42%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Ordissimo is primarily a hardware-and-software vendor focused on simplified computers/tablets for seniors  typically bundling an operating system and curated applications rather than monetizing an open source software product or distribution as its core business. While its devices may be based on Linux/Android components  its revenue model appears to center on selling integrated end-user products and services  not developing/monetizing OSS directly. Due to limited public evidence that Ordissimo runs a COSS-centric model or provides OSS infrastructure/tooling at ecosystem scale  the closest fit is an adjacent technology company delivering an integrated software layer on top of existing OSS.,Serena
OrecX,15%,Unknown / Insufficient Public Information,N/A,I don’t have enough reliable  verifiable information about OrecX’s primary business model (e.g.  whether it develops/monetizes an open-source core  provides managed hosting for OSS  sells dev tooling  or operates as an investor/foundation) to map it to a specific COSS taxonomy category. If you share OrecX’s website  product description  or how it generates revenue  I can classify it precisely using the Revenue and Ownership tests.,Serena
Orkes,66%,Core COSS Companies,Managed Open Source (Cloud) Providers,Orkes is best known for offering a hosted/commercial platform around the open source Conductor workflow orchestration project  monetizing through managed service and enterprise capabilities rather than purely consulting. This aligns with companies that provide hosted services for OSS technologies  even if they also offer additional proprietary features and support. Confidence is moderate because positioning can overlap with open-core depending on how much proprietary functionality is sold versus the managed offering.,Both
OroCommerce,74%,Core COSS Companies,Open-Core Product Companies,OroCommerce develops and commercializes an open-source B2B commerce platform  with revenue primarily coming from monetizing the product via enterprise licensing/subscriptions and related proprietary offerings. They control the core product and provide official support and services around it  which aligns with an open-core model rather than distribution or hosting of externally-owned OSS.,Both
Ortelius,56%,Core COSS Companies,Open Source Service & Consulting Specialists,Ortelius is best known as an open source project and community (under the CD Foundation/LF ecosystem) focused on application delivery/discovery tooling rather than a clearly identified commercial software vendor with a proprietary open-core model. Since there’s no strong evidence of Ortelius operating a distinct paid product  hosted managed service  or distribution business  the closest fit in this taxonomy is a services/consulting-oriented OSS specialist (typically monetizing via support  integration  and implementation around the OSS project).,Serena
Ory Corp,72%,Core COSS Companies,Open-Core Product Companies,Ory Corp is primarily centered on developing and commercializing the Ory identity and access management stack (e.g.  Kratos/Hydra/Oathkeeper)  which is open source at its core. They monetize through paid offerings (notably Ory Cloud/enterprise features and support)  aligning best with an open-core product company rather than a general infrastructure provider or consulting-led business.,Both
OSINT Combine,62%,Adjacent Software and Technology Companies,Security and Compliance Tools,OSINT Combine appears to focus on open-source intelligence (OSINT) capabilities that typically support security  investigation  and compliance workflows rather than monetizing a specific open-source software product as the core business. This aligns best with adjacent security tooling that leverages or enhances OSS/OSINT ecosystems rather than operating as a distribution  managed OSS provider  or foundation.,Serena
OSINT Solutions,62%,Adjacent Software and Technology Companies,Security and Compliance Tools,OSINT Solutions appears to focus on open-source intelligence (OSINT) capabilities and services that typically support security  investigations  and risk management rather than monetizing an open source software product itself. That aligns best with adjacent security/compliance tooling in the COSS ecosystem  which protects or leverages OSS data/sources without being defined by distributing or controlling a specific OSS project. Confidence is moderate because the exact revenue model (product vs consulting) is unclear from the name alone.,Serena
OSLLM AI,44%,Core COSS Companies,Open-Core Product Companies,Based on the name  OSLLM AI appears to be an organization centered on an open-source LLM/AI software product  suggesting its primary business likely revolves around developing and monetizing OSS. With no clear evidence it primarily packages third-party OSS (distribution)  provides consulting  or mainly offers managed hosting for external OSS  the closest fit is an Open-Core Product Company  but confidence is low due to limited public detail provided.,Serena
Oso,64%,Core COSS Companies,Open-Core Product Companies,Oso develops and sells an authorization product centered on the open-source Oso policy engine  with monetization typically coming from commercial features/services around that core. This aligns best with an open-core model where the company controls the core project and layers paid offerings on top rather than primarily packaging third-party OSS or acting as a generic infrastructure provider.,OSS Capital
OTAinfo,34%,Market and Data Analytics Providers,Market Research and Advisory Firms,OTAinfo appears to be an information/insights-oriented entity rather than a company whose primary business is developing or monetizing a specific open source software product  operating infrastructure  or providing OSS governance. With limited public context provided  the closest fit in the taxonomy is a market/data analytics provider focused on information dissemination and advisory-style content  but this classification is low-confidence absent confirmation of its actual offerings and revenue model.,Serena
OTRS,72%,Core COSS Companies,Open-Core Product Companies,OTRS is best known for the OTRS service management/ticketing software with an open-source core and a commercial entity monetizing enterprise features  packaged editions  and support. Their primary revenue is tied to the software product and related subscriptions/services  and they control the core product direction and branding  fitting the open-core product company definition.,Serena
Otterize,0-1,Core COSS Companies,Open-Core Product Companies,Otterize’s primary offering centers on developer/security tooling for managing service-to-service identity and access in cloud-native environments  built around an open-source core project they originate/control  with commercialization through an enterprise product. This fits the open-core model: monetizing proprietary capabilities layered on top of an OSS core rather than primarily packaging third-party OSS or offering a managed hosted OSS service.,OSS Capital
Outright Store,32%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Publicly available information on “Outright Store” is insufficient/ambiguous to confirm it as a Core COSS vendor  infrastructure provider  foundation  or investor. The name most plausibly suggests an e-commerce/marketplace or commerce-enablement software/service that could integrate with various systems rather than an OSS-first business model. Given the uncertainty  this is a best-fit tentative classification pending confirmation of whether it actually develops/monetizes open source software or primarily resells/hosts OSS technologies.,Serena
Oven,58%,Ecosystem Infrastructure Providers (Catalysts),Development & CI/CD Tool Providers,Oven appears to be primarily a developer tool that helps build and run applications (developer experience/tooling) rather than a company monetizing a specific open-source product or distribution. That aligns best with CI/CD and development tooling providers that enable OSS adoption without being defined by a single OSS project. Confidence is moderate because “Oven” is an ambiguous name and could refer to different entities without additional context (e.g.  product URL or description).,OSS Capital
Ovio,32%,Adjacent Software and Technology Companies,Monitoring and Observability Providers,I don’t have enough reliable  verifiable information about “Ovio” (there are multiple entities with this name across markets) to determine a precise COSS taxonomy fit. If this refers to the Ovio that provides operational/monitoring-type software rather than developing and monetizing a specific open source product  it best matches an adjacent tooling company supporting OSS adoption. Please share the company URL or a 1–2 sentence description of what Ovio sells to refine the classification and confidence.,Serena
Owingo,30%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Publicly available information is insufficient to clearly identify Owingo as a company that primarily develops/monetizes an open-source product  runs managed OSS services  or operates core OSS infrastructure. Based on the limited signals typically associated with smaller software vendors in the OSS ecosystem  the most plausible fit is an adjacent provider offering software that integrates with or supports OSS deployments rather than being defined by an OSS product itself. This classification is low-confidence and should be revisited with details on Owingo’s product  licensing model  and revenue source.,Serena
ownCloud,86%,Core COSS Companies,Open-Core Product Companies,ownCloud develops and commercializes file sync/share and collaboration software built around an open-source core  with revenue primarily coming from enterprise offerings such as subscriptions/support and proprietary enterprise features. Because it monetizes a product it originated and controls rather than packaging an external project or primarily providing general infrastructure  it best fits the Open-Core Product Company subcategory.,Serena
Oxen Privacy Tech Foundation,74%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,As a “Foundation ” Oxen Privacy Tech Foundation is most likely organized to steward and coordinate development/community health around open-source privacy technology rather than primarily selling software  hosting services  or tooling. This aligns best with the taxonomy’s governance/stewardship foundation category  where the entity’s core function is ecosystem facilitation rather than a commercial software business model.,Serena
P2P-Next,38%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,P2P-Next is best known as a peer-to-peer streaming research/development initiative (originating in EU-funded collaboration) rather than a commercial software vendor with a clear revenue model. Given the limited evidence of a product-led business or managed service offering  it aligns most closely with a collaborative ecosystem initiative facilitating shared technology development and stewardship rather than a Core COSS company.,Serena
Pachyderm,68%,Core COSS Companies,Open-Core Product Companies,Pachyderm’s business centers on a data-centric pipeline/orchestration platform that originated as an open source core  with commercialization focused on an enterprise product offering (e.g.  proprietary features  enterprise packaging  and support). This aligns with a company monetizing software it develops and controls rather than primarily packaging third-party OSS or acting mainly as a general infrastructure provider.,Serena
Pagely,78%,Core COSS Companies,Managed Open Source (Cloud) Providers,Pagely’s primary business is providing a managed  hosted platform for the open source WordPress CMS rather than selling proprietary software licenses. This aligns with the “Managed Open Source (Cloud) Providers” model: monetization comes from operating and supporting an OSS technology as a service  with the OSS project itself developed externally.,Serena
Pahdo Labs,36%,Core COSS Companies,Open Source Service & Consulting Specialists,Publicly available information indicates Pahdo Labs operates primarily as a software/engineering services firm (building and integrating software for clients) rather than being defined by a single  monetized open-source product or a managed OSS cloud offering. There isn’t clear evidence that they control and monetize an open-core product or act as a distribution/hosting provider for a specific OSS technology  making the services/consulting classification the closest fit given the taxonomy.,OSS Capital
Paladin Cloud,0-1,Adjacent Software and Technology Companies,Security and Compliance Tools,I don’t have enough reliable information from the provided prompt to determine Paladin Cloud’s primary business model or whether it develops/monetizes open source software versus providing security/compliance tooling around it. The name suggests a cloud security/compliance product  which would place it in Adjacent Software (Security and Compliance Tools)  but this is speculative without confirmation of what they sell and how they position it.,OSS Capital
Palamida,78%,Adjacent Software and Technology Companies,Security and Compliance Tools,Palamida is best known for software composition analysis—scanning codebases to identify open source components  licenses  and related IP/compliance risks—rather than developing or monetizing a specific open source product. That places it in tooling that protects and manages OSS usage (compliance/security)  aligning with the “Security and Compliance Tools” adjacent category rather than Core COSS.,Serena
Palark,62%,Core COSS Companies,Open Source Service & Consulting Specialists,Palark is primarily positioned as a services provider around open source infrastructure (notably Kubernetes/DevOps)  generating revenue mainly from implementation  integration  and consulting rather than monetizing a proprietary extension of an OSS product. This aligns best with the definition of Open Source Service & Consulting Specialists rather than a managed OSS cloud provider or an open-core product company.,Serena
PalominoDB,78%,Core COSS Companies,Open Source Service & Consulting Specialists,PalominoDB is primarily known for providing consulting  support  and managed expertise around open source databases (especially MySQL/MariaDB)  rather than selling a proprietary extension of an OSS product they control. This aligns with the definition of service and consulting specialists whose revenue comes mainly from advisory  integration  operations  and support for OSS technologies.,Serena
Pandastream,42%,Core COSS Companies,Open-Core Product Companies,Based on the name and typical positioning  Pandastream appears most likely to be a product company centered on a software platform rather than a foundation  investor  or generic infrastructure provider. With no evidence provided that it primarily packages third-party OSS or offers managed hosting for an external project  the closest fit in the taxonomy is an open-source-led product vendor (often monetized via proprietary enterprise features). Confidence is low due to insufficient public/business-model details in the prompt.,Serena
panOpen,36%,Adjacent Software and Technology Companies,Security and Compliance Tools,Based on the available signal from the name “panOpen ” the most plausible fit in the COSS taxonomy is an adjacent tool focused on open-source enablement rather than a core OSS product company (it does not clearly indicate ownership/maintenance of a specific OSS project). “panOpen” suggests an open-source/security/compliance positioning  which aligns best with security/compliance tooling that supports OSS adoption.,Serena
Pantheon,74%,Core COSS Companies,Managed Open Source (Cloud) Providers,Pantheon primarily monetizes by providing a hosted platform for building and running websites on open source CMS technologies (notably WordPress and Drupal)  aligning with managed/hosted services around OSS. Its value proposition is operational hosting  performance  and workflow tooling layered on top of externally governed OSS rather than selling proprietary extensions to an open-source core it controls.,OSS Capital
Panther,86%,Adjacent Software and Technology Companies,Security and Compliance Tools,Panther primarily sells a security product (cloud/SIEM detection and response) that monitors and protects customers’ infrastructure and software stacks  including environments built on open source components  rather than monetizing an open source project itself. Its business model aligns with providing security/compliance tooling adjacent to OSS adoption  not OSS distribution  open-core monetization  or managed hosting of a specific OSS technology.,Both
Parallel,36%,Core COSS Companies,Managed Open Source (Cloud) Providers,“Parallel” most commonly refers to a company providing hosted infrastructure/services rather than being a specific open-source product vendor with proprietary extensions. However  the name is ambiguous (multiple companies use “Parallel”)  and without confirmation of which “Parallel” you mean (e.g.  Parallel Systems  Parallel Workspace  etc.)  this classification is tentative and based on the closest-fit role in the COSS ecosystem.,OSS Capital
Parasail,44%,Adjacent Software and Technology Companies,Integration & Middleware Providers,“Parasail” is not clearly identifiable as a company whose primary business is developing/monetizing a specific open source product  providing OSS distribution  or operating as a managed OSS cloud provider. The name more commonly refers to web/app tooling (often oriented around site/app building and integrations)  which fits best as adjacent software supporting broader ecosystems rather than core COSS. Confidence is moderate-low because there are multiple entities/projects that could be referred to as “Parasail” without additional context (website  product description  or OSS repos).,Serena
Parity Technologies,74%,Core COSS Companies,Open Source Service & Consulting Specialists,Parity Technologies is best known for building and maintaining open-source blockchain infrastructure (notably Substrate and core Polkadot client implementations) and monetizing its expertise through engineering services  integrations  and ecosystem development rather than primarily selling a proprietary open-core product. While it produces substantial OSS  its commercial model aligns more with services/consulting around OSS technology than with distributing third-party OSS or offering it as a managed cloud service.,Serena
Parseable,78%,Adjacent Software and Technology Companies,Monitoring and Observability Providers,Parseable provides a log analytics/observability platform (collecting  querying  and analyzing logs and telemetry) rather than monetizing a specific open-source project as its primary business. This aligns best with vendors that support and monitor OSS-driven infrastructure and applications  even if they may integrate with or support open-source tools. There isn’t strong evidence that Parseable’s core revenue model is distributing/supporting an OSS project they control (Core COSS) versus selling an observability product.,OSS Capital
PartyKit,0-1: 0.62,Core COSS Companies,Open-Core Product Companies,PartyKit develops and monetizes a real-time collaboration/server platform that is closely tied to an open-source codebase and developer product offering  indicating a primary business model centered on OSS-based software rather than generic infrastructure. Because it appears to commercialize a product it authors/controls (rather than mainly packaging third-party OSS or providing consulting)  it fits best as an Open-Core Product Company  though public details on the exact licensing and monetization split are limited.,OSS Capital
Passbolt,78%,Core COSS Companies,Open-Core Product Companies,Passbolt develops and distributes an open source password management product and monetizes it through commercial offerings (e.g.  hosted and/or enterprise features/support) tied to the Passbolt core they control. This aligns with a primary business model centered on an OSS product with paid tiers rather than primarily packaging third-party OSS or providing general infrastructure tooling.,Serena
Patchstack,74%,Adjacent Software and Technology Companies,Security and Compliance Tools,Patchstack primarily provides a security platform focused on detecting and helping remediate vulnerabilities (notably in open-source ecosystems like WordPress plugins/themes)  which aligns with “watching/protecting” OSS rather than distributing or monetizing an OSS product itself. Its core value proposition is vulnerability intelligence  monitoring  and security management  fitting the Security and Compliance Tools subcategory. While it may collaborate with open-source communities  its business model is centered on a security service/tooling layer adjacent to OSS.,Serena
Payload,62%,Adjacent Software and Technology Companies,Monitoring and Observability Providers,Payload is best known as an observability/monitoring-focused software company  providing tooling that helps teams understand  troubleshoot  and improve production systems rather than monetizing a specific open source project. This aligns more with “watching/monitoring” OSS-based stacks (Adjacent) than with developing and selling an OSS core product (Core COSS) or providing general infrastructure (Catalysts).,OSS Capital
PearAI,55%,Ecosystem Infrastructure Providers (Catalysts),Development & CI/CD Tool Providers,PearAI appears to be primarily a developer productivity/tooling company (an AI-assisted development environment)  which makes it infrastructure that enables software (including OSS) adoption rather than a company monetizing a specific open-source product. There isn’t clear evidence that PearAI’s core business model is selling/supporting an OSS project it controls (open-core) or hosting a managed OSS service  so the best fit is a development tool provider within the OSS ecosystem.,Serena
Pendulum,28%,Community and Collaboration Facilitators,Educational and Training Providers,“Pendulum” is most commonly recognized as an open-source Python date/time library  which would normally place it under Core COSS  but there is no clear evidence of a company whose primary business model monetizes that OSS project. Given the lack of a well-defined software monetization  hosting  or infrastructure business tied to the name  the closest fit is a community-oriented entity; however  this classification is low-confidence due to ambiguity about which “Pendulum” you mean. If you can share the company website or a one-line description (what they sell)  I can classify it accurately.,OSS Capital
Penpot,78%,Core COSS Companies,Open-Core Product Companies,Penpot develops and distributes an open source design/collaboration product and monetizes it primarily through commercial offerings (e.g.  paid cloud/enterprise features and support) tied to the core product they control. This aligns best with an open-core model rather than an infrastructure/tooling catalyst or a managed provider of an externally owned OSS project.,OSS Capital
Pepperdata,78%,Adjacent Software and Technology Companies,Monitoring and Observability Providers,Pepperdata primarily sells proprietary software that monitors and optimizes performance/resource usage for big-data and Kubernetes environments  including OSS stacks like Hadoop/Spark. It enables adoption and operational efficiency of open source technologies but is not itself an open source product company or an OSS distribution/managed OSS provider  fitting the “adjacent” monitoring/observability category.,Serena
Percona,93%,Core COSS Companies,Open Source Service & Consulting Specialists,Percona’s primary business is providing paid support  consulting  and managed services around open source database technologies (notably MySQL and related ecosystems) rather than monetizing proprietary extensions of a controlled open-source core. This aligns with the taxonomy’s “Service & Consulting Specialists” definition  where revenue is driven mainly by expertise  integration  and operational support for OSS.,Serena
Perfect,34%,Adjacent Software and Technology Companies,Integration & Middleware Providers,“Perfect” is ambiguous and refers to multiple entities/products  so a definitive COSS taxonomy placement isn’t possible from the name alone. The best-fit assumption  based on common market usage (e.g.  “Perfect” as a technology product/vendor name)  is an adjacent software company providing tooling that supports application development/integration rather than a company primarily monetizing an OSS product. If you can share the website or a one-line description (what they sell and whether it’s open source)  I can reclassify with high confidence.,Serena
Permit.io,64%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Permit.io provides an authorization platform (policy/permissions as a service) that integrates into applications and infrastructure to manage access control  which aligns with middleware that supports broader software stacks rather than a standalone open-source distribution or managed OSS service. While it may interface with open-source policy components  its primary monetization appears to be delivering a commercial SaaS/tooling layer enabling and simplifying authorization implementation rather than monetizing a specific open-source core as the central business model.,OSS Capital
Pezzo,32%,Core COSS Companies,Open-Core Product Companies,“Pezzo” appears to be a software product/company name  but there isn’t enough verified context here to determine whether it primarily monetizes an open-source core  provides managed hosting of an external OSS project  or operates as a services/distribution business. Given the COSS taxonomy options  the closest default fit—if Pezzo is an OSS-led product company—is an Open-Core Product Company  but this is a low-confidence classification due to insufficient evidence about its business model and OSS ownership.,Serena
Phase2,55%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Phase2 is best known as a digital experience/web platform consultancy and systems integrator (not primarily a company monetizing an open source product it controls)  with significant work around integrating and implementing OSS platforms (commonly CMS/DXP stacks). That aligns more with an adjacent integration/services technology role than with Core COSS product monetization or infrastructure/platform provisioning.,Serena
Phylum,86%,Adjacent Software and Technology Companies,Security and Compliance Tools,Phylum primarily sells a software supply chain security product focused on detecting malicious or risky open source packages and dependencies rather than monetizing an open source project it controls. This aligns with the “Security and Compliance Tools” subcategory because its core value is protecting and managing risk in OSS usage  not distributing  hosting  or providing managed services for an OSS product.,OSS Capital
Pica8,0-1: 0.74,Core COSS Companies,Open-Core Product Companies,Pica8 commercializes network operating software built around an open-source core (e.g.  PicOS based on open switching components like Open vSwitch and Linux) and sells enterprise features  integration  and support as the monetization layer. This aligns best with an open-core product model where the company controls and packages the core offering while monetizing commercial enhancements and services rather than acting purely as a neutral distributor or a managed cloud provider.,OSS Capital
PickNik Robotics,86%,Core COSS Companies,Open Source Service & Consulting Specialists,PickNik Robotics is best known for building and maintaining major open source robotics software (notably in the ROS/MoveIt ecosystem) and generating revenue primarily through robotics engineering services  integration  and consulting rather than selling a proprietary open-core product. Their business aligns with providing implementation/support around OSS that is broadly community-driven  fitting the “service & consulting specialist” definition.,OSS Capital
Pillar Project,62%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,Pillar Project is best understood as a community-oriented initiative aimed at improving the Node.js ecosystem (notably around best practices  security  and maintainability) rather than a company monetizing a specific open source product. That aligns more with ecosystem health and stewardship activities than with selling  hosting  or tooling a commercial OSS product. Confidence is moderate because “Pillar Project” can also be referenced in multiple contexts  and the classification assumes the Node.js/community initiative.,Serena
Pimcore,86%,Core COSS Companies,Open-Core Product Companies,Pimcore develops and controls an open-source core platform (Pimcore) and monetizes it primarily through commercial offerings such as enterprise features  subscriptions/support  and professional services. This aligns with an open-core model where the company’s primary business is built around the OSS product it maintains and extends with proprietary/commercial elements.,Both
PingCAP,86%,Core COSS Companies,Open-Core Product Companies,PingCAP is the primary commercial steward of TiDB  an open-source distributed SQL database  and its business centers on monetizing the TiDB ecosystem via enterprise offerings and commercial support. Because it develops and controls the core OSS project’s direction and monetizes added capabilities/services around that core  it fits best as an Open-Core Product Company rather than a generic managed provider of an externally-owned OSS project.,Both
Pinnocio,36%,Core COSS Companies,Open-Core Product Companies,Pinnocio is best known as a hardware/IoT startup that provided a developer platform for mesh-networked microcontroller boards; it is not clearly an OSS foundation  infrastructure catalyst  or investor. Given the product-centric nature of the offering and the possibility of an open-source core with monetized proprietary services/features (typical in IoT platforms)  the closest fit in this taxonomy is an open-core product company  but the public evidence that OSS monetization was the primary business model is limited  hence low confidence.,Serena
Pionix,34%,Core COSS Companies,Open-Core Product Companies,Pionix appears to be primarily known as the company behind the open source project Eclipse hawkBit (device/OTA update management)  which suggests a business centered on developing and supporting an OSS product they originated or strongly steward. However  public information on whether they monetize via proprietary extensions (open-core) versus primarily services/consulting is not definitive from the name alone  so this classification is tentative. If their revenue is mainly implementation/integration rather than licensing/features  they would fit better as an “Open Source Service & Consulting Specialist.”,OSS Capital
Pipedream,78%,Ecosystem Infrastructure Providers (Catalysts),Development & CI/CD Tool Providers,Pipedream is primarily a developer automation/integration platform used to build workflows and connect APIs  which functions as enabling tooling rather than monetizing a specific open-source software product. Its value is in providing hosted infrastructure and developer tools for building and running integrations (similar to DevOps/CI-style enablement)  not in distributing or supporting an OSS project as the core business model.,OSS Capital
Piston Cloud Computing,68%,Core COSS Companies,Open Source Service & Consulting Specialists,Piston Cloud Computing built and delivered OpenStack-based private cloud solutions primarily for enterprises  monetizing through implementation  integration  and support rather than through a proprietary open-core IP model. While it productized a distribution  its business aligned more with services around externally developed OSS (OpenStack) than with controlling and monetizing a unique open-source core.,Serena
Pixie Labs,72%,Core COSS Companies,Open-Core Product Companies,Pixie Labs created Pixie  an open source observability platform for Kubernetes  and monetization is best aligned with selling commercial offerings around the open source core they originated/controlled (e.g.  enterprise features and/or a commercial service). This fits the definition of a Core COSS company because the business centers on developing and monetizing an OSS product rather than purely providing generic infrastructure or independent consulting.,OSS Capital
PLAN Systems,46%,Adjacent Software and Technology Companies,Integration & Middleware Providers,PLAN Systems appears to operate primarily as an enterprise IT/software provider focused on implementing and integrating systems rather than monetizing a specific open source product they control. This maps best to an adjacent technology company that supports organizations’ software stacks (often including OSS) via integration and middleware-type services/products  rather than a Core COSS company built around an OSS codebase.,Serena
