project,description,ended,homepage,name,started,status
wink,Apache Wink is a project that enables development and consumption of REST style web services. The core server runtime is based on the JAX-RS (JSR 311) standard. The project also introduces a client runtime which can leverage certain components of the server-side runtime. Apache Wink will deliver component technology that can be easily integrated into a variety of environments.,2012-12,http://wink.incubator.apache.org/,Apache Wink (Incubating),2009-05,graduated
woden,Implementation of WSDL 2.0,2007-12,http://woden.incubator.apache.org/,Apache Woden (Incubating),2005-03,graduated
wookie,a W3C widget engine with Google Wave and Open Social Extensions.,2012-11,http://wookie.incubator.apache.org/,Apache Wookie (Incubating),2009-07,graduated
wsrp4j,Implementation of OASIS Web Services for Remote Portlets (WSRP),2010-04,http://wsrp4j.incubator.apache.org/,Apache WSRP4J (Incubating),2003-09,retired
xap,Declarative framework for building Ajax-powered web apps,2009-06,http://xap.incubator.apache.org/,Apache XAP (Incubating),2006-05,retired
xmlbeans,XML-Java binding tool with 100% support for XML Schema and full Infoset fidelity,2004-06,http://xmlbeans.incubator.apache.org/,Apache XMLBeans (Incubating),2003-07,graduated
xmlbeanscxx,C++ equivalent of Apache XMLBeans.,2007-05,http://xmlbeanscxx.incubator.apache.org/,Apache XMLBeans/C++ (Incubating),2005-06,retired
yoko,A CORBA Server.,2007-12,http://yoko.incubator.apache.org/,Apache Yoko (Incubating),2006-01,retired
yunikorn,YuniKorn is a standalone resource scheduler responsible for scheduling batch jobs and long-running services on large scale distributed systems running in on-premises environments as well as different public clouds.,2022-03,http://yunikorn.incubator.apache.org/,Apache YuniKorn (Incubating),2020-01,graduated
zeppelin,"A collaborative data analytics and visualization tool for distributed, general-purpose data processing systems such as Apache Spark, Apache Flink, etc.",2016-05,http://zeppelin.incubator.apache.org/,Apache Zeppelin (Incubating),2014-12,graduated
zetacomponents,Zeta Components is a high-quality library of loosely-coupled PHP components.,2012-04,http://zetacomponents.incubator.apache.org/,Apache Zeta Components (Incubating),2010-05,retired
zipkin,Zipkin is a distributed tracing system. It helps gather timing data needed to troubleshoot latency problems in microservice architectures.,2019-06,http://zipkin.incubator.apache.org/,Apache Zipkin (Incubating),2018-08,retired
